materiali	invecchiamento	valori
COMPOSITO_SUGLUE	2chewing	8.029513889
COMPOSITO_SUGLUE	2chewing	16.09195402
COMPOSITO_SUGLUE	2chewing	11.42217245
COMPOSITO_SUGLUE	2chewing	13.09370988
COMPOSITO_SUGLUE	2chewing	10.29239766
COMPOSITO_SUGLUE	2chewing	11.81001284
COMPOSITO_SUGLUE	2chewing	12.86549708
COMPOSITO_SUGLUE	2chewing	13.17204301
COMPOSITO_SUGLUE	2chewing	15.82004697
COMPOSITO_SUGLUE	2chewing	17.43205248
COMPOSITO_SUGLUE	2chewing	12.8052089
COMPOSITO_SUGLUE	2chewing	9.972299169
COMPOSITO_SUGLUE	2chewing	14.88833747
COMPOSITO_SUGLUE	2chewing	15.67982456
COMPOSITO_SUGLUE	2chewing	13.18565401
COMPOSITO_SUGLUE	2chewing	14.55767077
COMPOSITO_SUGLUE	2chewing	14.73847518
COMPOSITO_SUGLUE	2chewing	9.562514941
COMPOSITO_SUGLUE	2chewing	8.790016278
COMPOSITO_SUGLUE	2chewing	7.212168896
COMPOSITO_SUGLUE	2chewing	19.02173913
COMPOSITO_SUGLUE	2chewing	16.01343785
COMPOSITO_SUGLUE	2chewing	17.5711212
COMPOSITO_SUGLUE	2chewing	9.408602151
COMPOSITO_SUGLUE	2chewing	18.70378425
COMPOSITO_SUGLUE	2chewing	19.91122384
COMPOSITO_SUGLUE	2chewing	13.18705674
COMPOSITO_SUGLUE	2chewing	20.51557465
COMPOSITO_SUGLUE	2chewing	10.41666667
COMPOSITO_SUGLUE	2chewing	14.95844875
COMPOSITO_SUGLUE	2chewing	12.80535855
COMPOSITO_SUGLUE	2chewing	23.72112211
COMPOSITO_SUGLUE	2chewing	24.38186813
COMPOSITO_SUGLUE	2chewing	16.16753472
COMPOSITO_SUGLUE	2chewing	22.96650718
COMPOSITO_SUGLUE	2chewing	21.28136201
COMPOSITO_SUGLUE	2chewing	18.73406496
COMPOSITO_SUGLUE	2chewing	6.801998087
COMPOSITO_SUGLUE	2chewing	7.094557144
COMPOSITO_SUGLUE	2chewing	21.84637068
COMPOSITO_SUGLUE	2chewing	14.01107853
COMPOSITO_SUGLUE	2chewing	8.752188047
COMPOSITO_SUGLUE	2chewing	8.184143223
COMPOSITO_SUGLUE	2chewing	9.566326531
COMPOSITO_SUGLUE	2chewing	14.04612159
COMPOSITO_SUGLUE	2chewing	10.20408163
COMPOSITO_SUGLUE	2chewing	16.519687
COMPOSITO_SUGLUE	2chewing	16.44370123
COMPOSITO_SUGLUE	2chewing	9.288557722
COMPOSITO_SUGLUE	2chewing	9.193776521
COMPOSITO_SUGLUE	2chewing	12.99545159
COMPOSITO_SUGLUE	2chewing	6.70597757
COMPOSITO_SUGLUE	2chewing	11.68770453
COMPOSITO_SUGLUE	2chewing	8.464882178
COMPOSITO_SUGLUE	2chewing	6.938020352
COMPOSITO_SUGLUE	2chewing	6.749027682
COMPOSITO_SUGLUE	2chewing	6.951232758
COMPOSITO_SUGLUE	2chewing	9.723175475
COMPOSITO_SUGLUE	2chewing	8.121711279
COMPOSITO_SUGLUE	2chewing	6.590357267
COMPOSITO_SUGLUE	2chewing	7.014262333
COMPOSITO_SUGLUE	2chewing	6.569517439
COMPOSITO_SUGLUE	2chewing	8.236101579
